well,type,n,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note,plate
F06,algae,7130,F06_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,5
F07,algae,186,F07_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,5
F08,algae,13339,F08_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,5
F09,algae,238,F09_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,5
F10,algae,5213,F10_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,5
F11,algae,937,F11_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,5
G02,algae,24027,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,5
G03,algae,6757,G03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,5
G04,algae,4890,G04_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,5
G05,algae,1022,G05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,5
G06,algae,773,G06_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,5
G07,algae,14,G07_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,5
G08,algae,315,G08_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,5
G09,algae,917,G09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,5
G10,algae,5,G10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,5
G11,algae,1018,G11_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,5
